Explanation_Style,Situation_Awareness
Counterfactual,2
Causal,2
Contrastive,3
Counterfactual ,1
Causal,2
Contrastive,2
Counterfactual ,3
Causal,2
Contrastive,1
Counterfactual ,3
Causal,3
Contrastive,3
Contrastive,2
Causal,3
Counterfactual ,1
Contrastive,2
Causal,2
Counterfactual ,2
Causal,2
Contrastive,0
Counterfactual ,1
Causal,1
Counterfactual ,2
Contrastive,3
Causal,2
Counterfactual ,2
Contrastive,3
Contrastive,2
Counterfactual ,1
Causal,3
Counterfactual ,3
Causal,3
Contrastive,2
Causal,2
Contrastive,2
Counterfactual ,2
Causal,3
Contrastive,1
Counterfactual ,2
Contrastive,3
Causal,2
Counterfactual ,1
Contrastive,3
Counterfactual ,2
Causal,2
Causal,2
Counterfactual ,0
Contrastive,1
Contrastive,3
Counterfactual ,1
Causal,3
Contrastive,1
Causal,2
Counterfactual ,3
Counterfactual ,3
Contrastive,2
Causal,2
Contrastive,2
Counterfactual ,1
Causal,2
Contrastive,3
Causal,3
Counterfactual ,2
